Years,Months,Train Name,Reason,Region,Deaths,Injury
2020,May,,,,,
2020,July,,,Hyderabad,,
,,Malabar Express,fire,Varkala,,
,,Konark Superfast Express,,Mahabubabad,,
,,,,,,
2021,August,Guwahati-Howrah Saraighat COVID Special Train,derailed,,,
2022,January,Guwahati Express,derailed,Jalpaiguri,,
,April,Pawan Express,,,,
2022,March,,,Mumbai,,
2023,January,Suryanagri Express,derailed,,,
2023,April,,fire,Kannur,,
2023,May,the Chennai-Bangalore Double Decker Express,derailed,Bisanattam,,
2023,June,Bengaluru-Howrah SF Express,collision,Kolkata,,
2023,,,derailed,Ooty,,
2023,,,derailed,,,
2023,,,derailed,,,
2023,,Lokmanya Tilak Express,fire,Vyasarpadi,,
2023,,,collided,West Bengal,,
2023,July,Falaknuma Express,fire,Telangana,,
2023,August,,,West Bengal,26,
2023,August,,fire,,,
2023,September,Tiruchirappalli - Shri Ganganagar Humsafar SF Express,fire,,,
2023,September,,derailed,Mathura,,
2023,October,Anand Vihar Terminal-Kamakhya Junction North East Express,derailed,Bihar,4,70
2023,October,,derailed,Vizianagaram,14,50
,October,the Suheldev Superfast Express,derailment,Delhi,,
